,timecode,transcript,polarity,neg,neu,pos,compound
126,00:13:46.32 - 00:13:53.73,"Sometimes it can actually be a little more difficult to check those calculations because in Excel they're very visible, right?","{'neg': 0.112, 'neu': 0.755, 'pos': 0.133, 'compound': 0.1243}",0.112,0.755,0.133,0.1243
127,00:13:53.73 - 00:13:56,"You can click on a cell, see where things are coming from.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
128,00:13:56.01 - 00:13:59.88,Um but they're a little more opaque on an online carbon couching platform.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
129,00:13:59.89 - 00:14:15.16,"Um but then the other part of what we do is we review a selection of like documentation for background data that was like, okay, you claim you used 100,000 kilowatt hours here.","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8338}",0.0,0.766,0.234,0.8338
130,00:14:16.03 - 00:14:17.26,Where can you prove that?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
131,00:14:17.26 - 00:14:18.57,Can we see the invoices for that?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
132,00:14:18.57 - 00:14:22.13,"Or can we see a report from, your utility provider saying this is how much energy used.","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",0.0,0.877,0.123,0.2732
133,00:14:22.14 - 00:14:41.63,"and so in that case is when they're using an online platform, it's usually a little easier because they have the opportunity to attach evidence to particular like items so we can go in so we have to request less from the actual client and sometimes if we're trying to get those electricity bills, it's back and forth with a particular office or with the utility provider that takes some time.","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.7787}",0.0,0.894,0.106,0.7787
134,00:14:41.64 - 00:14:50.74,"But if they've uploaded that evidence to a system, it's, it's a little more straightforward for us to go and say, okay, we can see for january at this location, this is the electricity usage.","{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.3291}",0.0,0.932,0.068,0.3291
135,00:14:50.75 - 00:14:51.60,Right.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
136,00:14:52.57 - 00:14:53.05,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
137,00:14:53.06 - 00:15:02.43,"And what are some of the common challenges in auditing um when you go back and forth, what what are those back and forth?","{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.0772}",0.0,0.947,0.053,0.0772
138,00:15:03.43 - 00:15:34.54,"Um I think like I said a lot of it is okay, this is the data like this is the data we need um that's what takes a lot of the time is okay actually getting some of the source data, I think a lot of companies don't have a, I really flushed out inventory management plan for example, where they describe the exact methodology of their calculations and the exact methodology of how they collect their data in the few instances where I've worked with clients that do have that.","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.7783}",0.0,0.901,0.099,0.7783
139,00:15:34.55 - 00:15:40.20,"It really helps the auditing process because we can understand, okay, this is where that data is coming from.","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5849}",0.0,0.78,0.22,0.5849
140,00:15:40.21 - 00:15:47.08,"This is how, if there's any QA QC procedures, this is what they are um and then this is how the calculation is done.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
141,00:15:47.08 - 00:15:53.54,These are the emission factors we use having something like a document like that that's laid out is really helpful um but it's not very common.,"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.5494}",0.0,0.799,0.201,0.5494
142,00:15:53.55 - 00:15:55.55,"Okay, that's what we're working on.","{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.2263}",0.0,0.725,0.275,0.2263
143,00:15:55.56 - 00:15:57.26,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
144,00:15:57.27 - 00:15:58.42,"Yeah, no that's definitely great.","{'neg': 0.18, 'neu': 0.082, 'pos': 0.738, 'compound': 0.7783}",0.18,0.082,0.738,0.7783
145,00:15:58.42 - 00:16:24.42,"Like understanding like this is the methodology, this is this is the process and procedures is like something that at the beginning of an audit is always super helpful to read through it because it just that would reduce the number of questions that I have for the client right the back and forth a lot of the times like looking at it from a third party perspective, you'll have questions that are really not, it's really not an issue, not a verification issue.","{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.9565}",0.0,0.777,0.223,0.9565
146,00:16:24.43 - 00:16:26.60,It's really just something that needs to be explained.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
147,00:16:26.61 - 00:16:35.45,Um and so it's a quick back and forth but having having that that methodology like laid out in front of you can reduce the number of back and forth.,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.5719}",0.0,0.852,0.148,0.5719
148,00:16:35.45 - 00:16:36.87,You need to have great.,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.0,0.494,0.506,0.6249
149,00:16:36.88 - 00:16:47.23,"Um So aside from auditing you also you know, back to the client work and the measurement and all of that.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
150,00:16:47.24 - 00:17:00.70,Um is there any interest in having some sort of like science based targets package or I don't know like is there any specific things that you do for that initiative?,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.7517}",0.0,0.785,0.215,0.7517
151,00:17:01.21 - 00:17:05.67,Yeah for science based targets that's usually that we go through that process quite a bit.,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",0.0,0.864,0.136,0.296
152,00:17:05.68 - 00:17:12.19,"It's a pretty common ask once once companies have been doing their inventory for a few years, they're looking to set targets.","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.0,0.856,0.144,0.4939
153,00:17:12.20 - 00:17:22.81,Um And it's becoming less common for companies just but I think a few years ago companies would just pick up either pick an arbitrary number or pick something that they thought they could achieve and set that target.,"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.1154}",0.0,0.961,0.039,0.1154
154,00:17:23.09 - 00:17:28.33,Now there's a lot more interest in science space targets having that approved.,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7264}",0.0,0.621,0.379,0.7264
155,00:17:28.34 - 00:17:49.09,So when we go through that process um often times it's kind of in combination with a with a scope three screening because they want to know if okay if their scope three emissions are greater than 40% they have to set a scope three science based targets and sometimes the people interested haven't haven't completed their full scope three inventory yet.,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.7506}",0.0,0.868,0.132,0.7506
156,00:17:49.10 - 00:17:55.21,"Um So that's the first part is like okay, scope three screening determine if they need to set a scope three target.","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5267}",0.0,0.812,0.188,0.5267
157,00:17:55.22 - 00:18:00.57,Usually in almost all cases it's yes because scope three emissions are so much bigger than scope one and two.,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}",0.0,0.876,0.124,0.4019
158,00:18:00.58 - 00:18:18.75,Um but then it's really about they clients want to either either they'll commit immediately and then they'll say okay we have two years to figure it out or they really want to understand their target options before they even commit publicly to setting them.,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.8338}",0.0,0.787,0.213,0.8338
159,00:18:18.76 - 00:18:24.71,So what we'll do is take their emissions inventory and model out most commonly used.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
160,00:18:24.71 - 00:18:25.30,We'll use the S.B.T.I.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
161,00:18:25.65 - 00:18:27.71,Tools to model out.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
162,00:18:27.71 - 00:18:30.03,Okay these are your potential targets right?,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.2263}",0.0,0.759,0.241,0.2263
163,00:18:30.03 - 00:18:33.80,If you set a absolute emissions target it looks like this.,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.0,0.783,0.217,0.3612
164,00:18:33.80 - 00:18:38.98,If you set the intensity target it looks like this back when to under two degrees C.,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",0.0,0.865,0.135,0.3612
165,00:18:38.98 - 00:18:40.15,And 1.5 degrees C.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
166,00:18:40.15 - 00:18:40.88,Targets were allowed.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
167,00:18:40.88 - 00:18:43.72,We would model at both those different pathways and show them the difference.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
168,00:18:43.73 - 00:18:46.10,Now it has to be below 1.5 degrees C.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
169,00:18:46.10 - 00:18:50.99,So we'll model out both of those different pathways and then a lot of clients won't understand.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
170,00:18:50.99 - 00:18:55.27,"Okay so this is a hypothetical target, is it achievable for us?","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4939}",0.0,0.682,0.318,0.4939
171,00:18:55.28 - 00:19:08.55,So well okay if you um if you purchased all this renewable energy where would that put you on in relation to your goal if you covered all your electricity with renewables for example.,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.688}",0.0,0.823,0.177,0.688
172,00:19:08.56 - 00:19:19.83,Um So then it's more okay then they will publicly commit and then we'll go through the more formal target setting process which is a little more rigorous in terms of science based targets will come back and ask questions about.,"{'neg': 0.049, 'neu': 0.85, 'pos': 0.101, 'compound': 0.3134}",0.049,0.85,0.101,0.3134
173,00:19:19.83 - 00:19:22.84,Okay how did you do your inventory?,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.2263}",0.0,0.759,0.241,0.2263
174,00:19:22.84 - 00:19:25.36,Did you account for this particular thing and scope three?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
175,00:19:25.37 - 00:19:28.09,So that's more of a back and forth with the science based targets group.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
176,00:19:28.10 - 00:19:32.12,Um But yeah so that's kind of an overview of the process there?,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.0,0.811,0.189,0.4215
177,00:19:32.13 - 00:19:38.52,Um And it is with the science based targets tools are are great to a degree.,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6249}",0.0,0.773,0.227,0.6249
178,00:19:38.53 - 00:19:50.07,Sometimes it's a little confusing that their their version numbers are they like they'll have multiple versions up that exist on the internet and if you're using like an outdated version you gotta be careful because it won't it won't give you the same math.,"{'neg': 0.033, 'neu': 0.83, 'pos': 0.137, 'compound': 0.6115}",0.033,0.83,0.137,0.6115
179,00:19:50.08 - 00:20:03.04,Um but we'll we'll check it internally with our with our with our own calculations because usually those Percentage reductions are pretty straightforward and we can just say Oh it's 4.2% each year or something like that.,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.8201}",0.0,0.823,0.177,0.8201
180,00:20:03.05 - 00:20:12.57,Occasionally clients will want to be more aggressive than the actual what the tool spits out as they're like minimum pathway for 1.5 degrees C.,"{'neg': 0.069, 'neu': 0.802, 'pos': 0.129, 'compound': 0.1639}",0.069,0.802,0.129,0.1639
181,00:20:12.58 - 00:20:15.80,Um So well we'll adjust that as well.,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.584}",0.0,0.556,0.444,0.584
182,00:20:15.81 - 00:20:17.09,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
183,00:20:17.10 - 00:20:26.46,Um And what is like what is that conversation with um the client and them getting buy in from their organization or do you not?,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3612}",0.0,0.906,0.094,0.3612
184,00:20:26.47 - 00:20:28.82,Are you not as involved in that part?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
185,00:20:28.83 - 00:20:33.89,Usually usually they come to us when they already have buying to set a target.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
186,00:20:33.90 - 00:20:37.34,However sometimes it's something that comes up.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
187,00:20:37.35 - 00:20:41.49,Say we're doing an initial scope three or scope one and two inventory.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
188,00:20:41.49 - 00:20:44.61,Maybe some scope three part of our recommendations.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
189,00:20:44.62 - 00:20:52.11,"We always provide recommendations at the end of the project things to think about, oh this is this is where you could potentially look to look reduce your emissions.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
190,00:20:52.12 - 00:20:57.83,You should consider setting a target and usually our suggestion is to point them towards the science based targets as best practice.,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6369}",0.0,0.826,0.174,0.6369
191,00:20:57.84 - 00:21:11.77,Um Occasionally they've they've looked at that and they say this makes sense for us but really um yeah if they trust our advice coming out of the initial inventory and we say we think science based targets are best practice.,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.9379}",0.0,0.738,0.262,0.9379
192,00:21:11.78 - 00:21:14.11,Occasionally they'll say yes let's do it.,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.3477}",0.0,0.711,0.289,0.3477
193,00:21:14.12 - 00:21:30.45,Sometimes it needs to come from higher up um to get by and maybe they're getting pressure um from investors or things like that to set rates or um or from or we're seeing slightly more and more supply chain connections right?,"{'neg': 0.049, 'neu': 0.895, 'pos': 0.056, 'compound': 0.0772}",0.049,0.895,0.056,0.0772
194,00:21:30.45 - 00:21:37.24,"For for maybe some of their customers, their biggest customers, their biggest suppliers want their value chain to have targets set.","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.4019}",0.0,0.837,0.163,0.4019
195,00:21:37.25 - 00:21:40.16,So that occasionally will be a motivator as well.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}",0.0,0.769,0.231,0.2732
196,00:21:40.81 - 00:21:41.72,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
197,00:21:41.73 - 00:21:48.21,And are the are the tools that you have to use per client?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
198,00:21:48.22 - 00:21:51.58,Um You know like do they change at all?,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.0,0.762,0.238,0.3612
199,00:21:51.59 - 00:21:55.09,Um What is the biggest challenge with science based targets?,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0,0.874,0.126,0.0772
200,00:21:55.10 - 00:22:00.36,Because often what I hear is that it's the same challenges as everything else?,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}",0.0,0.902,0.098,0.0772
201,00:22:00.36 - 00:22:01.50,Like it's the data really.,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.0,0.615,0.385,0.3612
202,00:22:01.50 - 00:22:08.14,But is there any specific um Any specific tools that you use for this process?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
203,00:22:08.15 - 00:22:09.16,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
204,00:22:09.17 - 00:22:18.59,"I think there's not really, not really any tools, I think the process is slightly different just depending on the client, depending what what scope three categories are material to them.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
205,00:22:18.59 - 00:22:32.42,"Scope one and 2 is usually pretty straight forward, no matter what it's like the sci fi target tool is gonna spit out A potential target that that meets their criteria that's below 1.5°C pathway.","{'neg': 0.057, 'neu': 0.72, 'pos': 0.224, 'compound': 0.6705}",0.057,0.72,0.224,0.6705
206,00:22:32.43 - 00:22:44.10,"Thinking about the script targets Are a little more if you're not looking into the net zero guidance, which some clients are looking at like long-term net zero targets for like 2050 or earlier.","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6124}",0.0,0.861,0.139,0.6124
207,00:22:44.11 - 00:22:51.83,Those have to they expand that boundary that you have to cover 90% of your scope three emissions or 95%.,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}",0.0,0.892,0.108,0.3182
208,00:22:51.84 - 00:22:53.25,I can't remember off the top of my head.,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2023}",0.0,0.795,0.205,0.2023
209,00:22:53.94 - 00:23:07.41,"Um but the scope three targets for Like the near-term targets or the medium-term targets that are like 10 years out, they don't have to cover that much of your scope three emissions.","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.7579}",0.0,0.827,0.173,0.7579
210,00:23:07.41 - 00:23:16.19,So some some companies and you can see this on the science-based target website will set a sense we target only over a certain category of their scope three.,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.2732}",0.0,0.925,0.075,0.2732
211,00:23:16.20 - 00:23:24.67,So that's really where it gets more customized depending on the client is the scope three target and the potential for that um scope one and two is usually more straightforward.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
212,00:23:24.67 - 00:23:31.42,"But yeah, I think If they have a scope on into inventory and it's completed that target setting process is fairly straightforward.","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.0,0.872,0.128,0.4215
213,00:23:31.43 - 00:23:38.75,"It is when it gets comes to scope three, it's really determining some some clients are like, Okay, are we above or below that 40% threshold.","{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5267}",0.0,0.845,0.155,0.5267
214,00:23:38.75 - 00:23:43.75,That means we have to set a scope to target and then once they say they're above it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
215,00:23:43.75 - 00:23:43.97,Okay.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.0,0.0,1.0,0.2263
216,00:23:43.97 - 00:23:46.07,Which which combination of categories?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
217,00:23:46.71 - 00:23:50.41,I think it's about 60% of the scripture emissions have to be included in the target.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
218,00:23:50.42 - 00:23:53.45,So which combination of categories do we need to set a target on?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
219,00:23:53.46 - 00:23:58.75,Can we set a target just on 11 category.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
220,00:23:58.75 - 00:24:03.51,For example if they have one category that really dominates their um their scope three emissions.,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.1263}",0.0,0.909,0.091,0.1263
221,00:24:03.51 - 00:24:09.74,So that's where it gets a little more a little more difficult and a little more customized depending on the client.,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.4173}",0.14,0.86,0.0,-0.4173
222,00:24:09.74 - 00:24:11.34,And there's not really a tool that we use.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
223,00:24:11.34 - 00:24:13.79,It's kind of just math um to determine.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
224,00:24:13.79 - 00:24:14.08,Okay.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.0,0.0,1.0,0.2263
225,00:24:14.10 - 00:24:18.19,"Does they, do they are they meeting the threshold if they include these categories?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
226,00:24:18.19 - 00:24:24.97,"Are they meeting the threshold if they're only setting a target on, you know, just 13 category?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
227,00:24:24.98 - 00:24:25.98,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
228,00:24:25.99 - 00:24:46.08,And within your own company and colleagues um is it do you guys often have the same client or is it an autonomous thing where like I'm working on this client or is it more of like usually it's a team um there'll be a team of associates and a couple analysts on each client engagement.,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.7906}",0.0,0.862,0.138,0.7906
229,00:24:46.09 - 00:24:58.18,"Um But these are you the science based target process is usually part of a bigger scope of work that we have for a client, usually there's other things happening in parallel at the same time but that maybe other members of my company are working on.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
230,00:24:58.19 - 00:25:06.18,"Um Yeah, so it's it's really not like one person going off and setting a target for someone is really a team thing.","{'neg': 0.101, 'neu': 0.805, 'pos': 0.093, 'compound': -0.0486}",0.101,0.805,0.093,-0.0486
231,00:25:06.19 - 00:25:07.21,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
232,00:25:07.22 - 00:25:08.91,How do you guys collaborate?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
233,00:25:08.91 - 00:25:40.74,"Like and how Yeah, I mean I think it's it's mostly about I mean it's just about communicating with each other and like I said okay you can use the science based targets tool tool to model out their potential scope one and two targets and you can use it to model their potential school three and then we kind of we usually bring them together in some form of presentation slides to show them okay these are your target options and will work collaboratively collaboratively in those slides usually power point.","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.8402}",0.0,0.883,0.117,0.8402
234,00:25:40.75 - 00:25:56.59,"Um I don't think there's any good I mean Excel obviously we're using to do something, do the calculations um and then we'll maybe we'll write up a report and say okay these are your missions these your target options, that kind of thing.","{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.7783}",0.0,0.83,0.17,0.7783
235,00:25:57.15 - 00:25:57.74,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
236,00:25:58.35 - 00:25:58.99,Cool.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.0,0.0,1.0,0.3182
237,00:25:59 - 00:26:11.62,So overall in like your work and your company um what are some of the bigger challenges that you face that you know that we could be helpful in with like software tools?,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.8238}",0.0,0.751,0.249,0.8238
238,00:26:11.62 - 00:26:21.03,So we have larger men were working on a lot of things and we're trying to work more specifically with um creating tools for consultants.,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.296}",0.0,0.913,0.087,0.296
239,00:26:21.04 - 00:26:31.07,Um So what what do you see out there in the world challenges like not specific features that you need but just like I think the biggest challenge.,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.6808}",0.0,0.752,0.248,0.6808
240,00:26:31.07 - 00:26:42.90,And this is something we talked we just we touched on briefly is that data collection side of things for the client to to really if if a client doesn't have a centralized system where they're tracking all of these different information that we need?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
241,00:26:42.90 - 00:26:50.36,"It's hard to build that uh for each, each individual client because every client system systems are kind of different.","{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1027}",0.069,0.931,0.0,-0.1027
242,00:26:50.37 - 00:26:56.45,Um I know there's progress made on this with the ability to connect to some systems with a P.I.S,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.6249}",0.0,0.746,0.254,0.6249
243,00:26:56.87 - 00:26:58.79,Or other other things like that.,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.0,0.667,0.333,0.3612
244,00:26:58.80 - 00:27:13.68,"I think just it's almost more like okay in educating educating the clients that, so this is to make them understand that this is information that needs to be tracked year over year or even like month to month and have that all in one central location.","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.7135}",0.0,0.861,0.139,0.7135
245,00:27:13.69 - 00:27:29.07,"I think that's the biggest challenge that we deal with is really they sometimes they'll they'll do, they'll do an inventory, they'll get us all the data for one year and then they'll they'll maybe forget about it for a whole another year until they're ready to do it again.","{'neg': 0.037, 'neu': 0.888, 'pos': 0.075, 'compound': 0.2263}",0.037,0.888,0.075,0.2263
246,00:27:29.08 - 00:27:31.71,And that's really not the most efficient way to collect this data.,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.3713}",0.188,0.812,0.0,-0.3713
247,00:27:31.71 - 00:27:33.55,It really should be an ongoing process.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
248,00:27:33.56 - 00:27:36.32,Um That's the biggest challenge.,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.0772}",0.0,0.755,0.245,0.0772
249,00:27:36.32 - 00:27:41.14,I think another one is potentially the boundary setting.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
250,00:27:41.15 - 00:27:49.37,"Um discussions, clients really don't understand the difference between the different control approaches that the GsC protocol uses.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
251,00:27:49.37 - 00:27:53.20,So like operational control financial control equity share approach.,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.6115}",0.0,0.584,0.416,0.6115
